Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,6473.090000000001,77677.08,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,803.5,9642.00,USD,,"Hosted Zones (2), Additional Records in Hosted Zones (100000), IP (CIDR) blocks (1000), Basic Checks Within AWS (10)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,1054.85,12658.20,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,1.1,13.20,USD,,"Number of EC2 instances (4), Number of EIPs per instance (2), Number of EIP remaps (5)"
My Estimate,US East (N. Virginia),,S3 Standard,0,2.31,27.72,USD,,"S3 Standard storage (100 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (100), GET, SELECT, and all other requests from S3 Standard (100), Data returned by S3 Select (10 GB per month), Data scanned by S3 Select (1 GB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,1361.304,16335.65,USD,,"Tenancy (Dedicated Instances), Operating system (Linux), Workload (Consistent, Number of instances: 8), Advance EC2 instance (a1.2xlarge), Pricing strategy (On-Demand Utilization: 50 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,VPN Connection,0,906.9300000000001,10883.16,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (20), Number of subnet associations (4)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,32.89,394.68,USD,,Number of NAT Gateways (1)
My Estimate,US East (N. Virginia),,Data Transfer,0,112.64,1351.68,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (1 TB per month), Data transfer cost (112.64)"
My Estimate,US East (N. Virginia),,Gateway Load Balancer,0,19.17,230.04,USD,,"Number of Availability Zones that Gateway Load Balancer is deployed to (1), Number of Gateway Load Balancer Endpoints (1), Total processed bytes (0.5 GB per hour), Average number of new connections/flows (5 per second), Average connection/flow duration (5 seconds)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,2148.4,25780.80,USD,,"Storage volume (General Purpose SSD (gp2)), Storage amount (100 GB), Nodes (2), Instance Type (db.m2.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,30.004,360.05,USD,,"Number of Metrics (includes detailed and custom metrics) (100), GetMetricData: Number of metrics requested (100), GetMetricWidgetImage: Number of metrics requested (100), Number of other API requests (100)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
*Changes:
    - Reduce Processed byte of ELB form 50GB (too high) to 25GB
    - Reduce expected usage of EC2 numbers from 100(too high) to 50
